received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-07-06T21:33:07.840873036Z	eui-2cf7f12051004d45	8	46	{'bat1': 4, 'bat2': 4, 'co2': 501, 'humi': 82, 'methane': 283, 'temp': 21, 'unix': 1751844764}	-81		0.066816s
2025-07-05T01:31:10.528562609Z	eui-2cf7f12051004d45	8	12	{'bat1': 3, 'bat2': 4, 'co2': 1322, 'humi': 81, 'methane': 1289, 'temp': 19, 'unix': 1751686247}	-85		0.066816s
2025-07-05T01:39:54.333872282Z	eui-2cf7f12051004d45	8	13	{'bat1': 3, 'bat2': 4, 'co2': 541, 'humi': 80, 'methane': 262, 'temp': 19, 'unix': 1751686771}	-87		0.066816s
2025-07-05T03:30:12.370913115Z	eui-2cf7f12051004d45	8	14	{'bat1': 3, 'bat2': 4, 'co2': 1348, 'humi': 81, 'methane': 1255, 'temp': 18, 'unix': 1751693389}	-82		0.066816s
2025-07-05T05:30:30.085144285Z	eui-2cf7f12051004d45	8	15	{'bat1': 3, 'bat2': 4, 'co2': 1968, 'humi': 81, 'methane': 1732, 'temp': 18, 'unix': 1751700607}	-91		0.066816s
2025-07-05T05:39:12.433638910Z	eui-2cf7f12051004d45	8	16	{'bat1': 3, 'bat2': 4, 'co2': 543, 'humi': 81, 'methane': 317, 'temp': 18, 'unix': 1751701129}	-79		0.066816s
2025-07-05T07:29:31.446651644Z	eui-2cf7f12051004d45	8	17	{'bat1': 3, 'bat2': 4, 'co2': 1459, 'humi': 81, 'methane': 1423, 'temp': 19, 'unix': 1751707748}	-88		0.066816s
2025-07-05T09:29:50.261018951Z	eui-2cf7f12051004d45	8	18	{'bat1': 3, 'bat2': 4, 'co2': 1921, 'humi': 81, 'methane': 1871, 'temp': 20, 'unix': 1751714967}	-87		0.066816s
2025-07-05T09:38:32.143568172Z	eui-2cf7f12051004d45	8	19	{'bat1': 3, 'bat2': 4, 'co2': 544, 'humi': 81, 'methane': 565, 'temp': 20, 'unix': 1751715489}	-83		0.066816s
2025-07-05T11:28:50.023898773Z	eui-2cf7f12051004d45	8	20	{'bat1': 3, 'bat2': 4, 'co2': 1189, 'humi': 81, 'methane': 1534, 'temp': 20, 'unix': 1751722107}	-87		0.066816s
2025-07-05T13:29:08.882939559Z	eui-2cf7f12051004d45	8	21	{'bat1': 3, 'bat2': 4, 'co2': 1355, 'humi': 81, 'methane': 1832, 'temp': 20, 'unix': 1751729326}	-83		0.071936s
2025-07-05T13:37:52.957871987Z	eui-2cf7f12051004d45	8	22	{'bat1': 3, 'bat2': 4, 'co2': 524, 'humi': 81, 'methane': 351, 'temp': 20, 'unix': 1751729850}	-87		0.071936s
2025-07-05T15:28:11.205621123Z	eui-2cf7f12051004d45	8	23	{'bat1': 3, 'bat2': 4, 'co2': 896, 'humi': 81, 'methane': 1478, 'temp': 21, 'unix': 1751736468}	-87		0.066816s
2025-07-05T17:28:30.036978289Z	eui-2cf7f12051004d45	8	24	{'bat1': 3, 'bat2': 4, 'co2': 1036, 'humi': 81, 'methane': 1802, 'temp': 20, 'unix': 1751743687}	-77		0.066816s
2025-07-05T17:37:13.182007856Z	eui-2cf7f12051004d45	8	25	{'bat1': 3, 'bat2': 4, 'co2': 522, 'humi': 80, 'methane': 339, 'temp': 19, 'unix': 1751744210}	-82		0.066816s
2025-07-05T19:27:31.204989645Z	eui-2cf7f12051004d45	8	26	{'bat1': 3, 'bat2': 4, 'co2': 843, 'humi': 81, 'methane': 1450, 'temp': 19, 'unix': 1751750828}	-81		0.066816s
2025-07-05T21:27:49.250913560Z	eui-2cf7f12051004d45	8	27	{'bat1': 3, 'bat2': 4, 'co2': 1055, 'humi': 81, 'methane': 1716, 'temp': 19, 'unix': 1751758046}	-83		0.066816s
2025-07-05T21:36:34.238531848Z	eui-2cf7f12051004d45	8	28	{'bat1': 3, 'bat2': 4, 'co2': 526, 'humi': 80, 'methane': 315, 'temp': 19, 'unix': 1751758571}	-84		0.066816s
2025-07-05T23:26:51.606308914Z	eui-2cf7f12051004d45	8	29	{'bat1': 3, 'bat2': 4, 'co2': 914, 'humi': 81, 'methane': 1048, 'temp': 19, 'unix': 1751765188}	-82		0.066816s
2025-07-06T01:27:10.806669035Z	eui-2cf7f12051004d45	8	30	{'bat1': 3, 'bat2': 4, 'co2': 1451, 'humi': 81, 'methane': 1642, 'temp': 19, 'unix': 1751772407}	-81		0.066816s
2025-07-06T01:35:55.661177842Z	eui-2cf7f12051004d45	8	31	{'bat1': 3, 'bat2': 4, 'co2': 550, 'humi': 81, 'methane': 459, 'temp': 19, 'unix': 1751772932}	-86		0.066816s
2025-07-06T03:26:13.625168096Z	eui-2cf7f12051004d45	8	32	{'bat1': 3, 'bat2': 4, 'co2': 1332, 'humi': 81, 'methane': 1490, 'temp': 19, 'unix': 1751779550}	-87		0.066816s
2025-07-06T05:26:32.943885948Z	eui-2cf7f12051004d45	8	33	{'bat1': 3, 'bat2': 4, 'co2': 1877, 'humi': 81, 'methane': 1696, 'temp': 19, 'unix': 1751786769}	-75		0.066816s
2025-07-06T05:35:17.680519532Z	eui-2cf7f12051004d45	8	34	{'bat1': 3, 'bat2': 4, 'co2': 535, 'humi': 81, 'methane': 376, 'temp': 19, 'unix': 1751787294}	-83		0.066816s
2025-07-06T07:25:36.413418329Z	eui-2cf7f12051004d45	8	35	{'bat1': 3, 'bat2': 4, 'co2': 1413, 'humi': 81, 'methane': 1239, 'temp': 20, 'unix': 1751793913}	-77		0.066816s
2025-07-06T09:25:56.279099623Z	eui-2cf7f12051004d45	8	36	{'bat1': 3, 'bat2': 4, 'co2': 1830, 'humi': 80, 'methane': 1642, 'temp': 22, 'unix': 1751801133}	-89		0.066816s
2025-07-06T09:34:39.585843347Z	eui-2cf7f12051004d45	8	37	{'bat1': 3, 'bat2': 4, 'co2': 514, 'humi': 81, 'methane': 347, 'temp': 22, 'unix': 1751801656}	-87		0.066816s
2025-07-06T11:25:06.212932523Z	eui-2cf7f12051004d45	8	38	{'bat1': 3, 'bat2': 4, 'co2': 1053, 'humi': 82, 'methane': 1472, 'temp': 23, 'unix': 1751808283}	-75		0.066816s
2025-07-06T13:25:25.589601804Z	eui-2cf7f12051004d45	8	39	{'bat1': 4, 'bat2': 4, 'co2': 1011, 'humi': 81, 'methane': 1704, 'temp': 25, 'unix': 1751815502}	-83		0.066816s
2025-07-06T13:34:25.334761790Z	eui-2cf7f12051004d45	8	40	{'bat1': 4, 'bat2': 4, 'co2': 493, 'humi': 80, 'methane': 293, 'temp': 25, 'unix': 1751816042}	-85		0.071936s
2025-07-06T15:24:43.940229791Z	eui-2cf7f12051004d45	8	41	{'bat1': 4, 'bat2': 4, 'co2': 695, 'humi': 82, 'methane': 1442, 'temp': 25, 'unix': 1751822660}	-85		0.071936s
2025-07-06T17:25:03.672894488Z	eui-2cf7f12051004d45	8	42	{'bat1': 4, 'bat2': 4, 'co2': 655, 'humi': 80, 'methane': 1611, 'temp': 25, 'unix': 1751829880}	-87		0.066816s
2025-07-06T17:33:47.135656947Z	eui-2cf7f12051004d45	8	43	{'bat1': 4, 'bat2': 4, 'co2': 496, 'humi': 80, 'methane': 364, 'temp': 25, 'unix': 1751830403}	-90		0.066816s
2025-07-06T19:24:05.754747382Z	eui-2cf7f12051004d45	8	44	{'bat1': 4, 'bat2': 4, 'co2': 574, 'humi': 82, 'methane': 1193, 'temp': 23, 'unix': 1751837022}	-77		0.066816s
2025-07-06T21:24:24.587803691Z	eui-2cf7f12051004d45	8	45	{'bat1': 4, 'bat2': 4, 'co2': 665, 'humi': 82, 'methane': 1496, 'temp': 21, 'unix': 1751844241}	-81		0.066816s
2025-07-06T21:33:07.840873036Z	eui-2cf7f12051004d45	8	46	{'bat1': 4, 'bat2': 4, 'co2': 501, 'humi': 82, 'methane': 283, 'temp': 21, 'unix': 1751844764}	-81		0.066816s
2025-07-06T23:23:26.896964181Z	eui-2cf7f12051004d45	8	47	{'bat1': 3, 'bat2': 4, 'co2': 709, 'humi': 81, 'methane': 1115, 'temp': 21, 'unix': 1751851383}	-85		0.066816s
2025-07-05T01:31:10.528562609Z	eui-2cf7f12051004d45	8	12	{'bat1': 3, 'bat2': 4, 'co2': 1322, 'humi': 81, 'methane': 1289, 'temp': 19, 'unix': 1751686247}	-85		0.066816s
2025-07-05T01:39:54.333872282Z	eui-2cf7f12051004d45	8	13	{'bat1': 3, 'bat2': 4, 'co2': 541, 'humi': 80, 'methane': 262, 'temp': 19, 'unix': 1751686771}	-87		0.066816s
2025-07-05T03:30:12.370913115Z	eui-2cf7f12051004d45	8	14	{'bat1': 3, 'bat2': 4, 'co2': 1348, 'humi': 81, 'methane': 1255, 'temp': 18, 'unix': 1751693389}	-82		0.066816s
2025-07-05T05:30:30.085144285Z	eui-2cf7f12051004d45	8	15	{'bat1': 3, 'bat2': 4, 'co2': 1968, 'humi': 81, 'methane': 1732, 'temp': 18, 'unix': 1751700607}	-91		0.066816s
2025-07-05T05:39:12.433638910Z	eui-2cf7f12051004d45	8	16	{'bat1': 3, 'bat2': 4, 'co2': 543, 'humi': 81, 'methane': 317, 'temp': 18, 'unix': 1751701129}	-79		0.066816s
2025-07-05T07:29:31.446651644Z	eui-2cf7f12051004d45	8	17	{'bat1': 3, 'bat2': 4, 'co2': 1459, 'humi': 81, 'methane': 1423, 'temp': 19, 'unix': 1751707748}	-88		0.066816s
2025-07-05T09:29:50.261018951Z	eui-2cf7f12051004d45	8	18	{'bat1': 3, 'bat2': 4, 'co2': 1921, 'humi': 81, 'methane': 1871, 'temp': 20, 'unix': 1751714967}	-87		0.066816s
2025-07-05T09:38:32.143568172Z	eui-2cf7f12051004d45	8	19	{'bat1': 3, 'bat2': 4, 'co2': 544, 'humi': 81, 'methane': 565, 'temp': 20, 'unix': 1751715489}	-83		0.066816s
2025-07-05T11:28:50.023898773Z	eui-2cf7f12051004d45	8	20	{'bat1': 3, 'bat2': 4, 'co2': 1189, 'humi': 81, 'methane': 1534, 'temp': 20, 'unix': 1751722107}	-87		0.066816s
2025-07-05T13:29:08.882939559Z	eui-2cf7f12051004d45	8	21	{'bat1': 3, 'bat2': 4, 'co2': 1355, 'humi': 81, 'methane': 1832, 'temp': 20, 'unix': 1751729326}	-83		0.071936s
2025-07-05T13:37:52.957871987Z	eui-2cf7f12051004d45	8	22	{'bat1': 3, 'bat2': 4, 'co2': 524, 'humi': 81, 'methane': 351, 'temp': 20, 'unix': 1751729850}	-87		0.071936s
2025-07-05T15:28:11.205621123Z	eui-2cf7f12051004d45	8	23	{'bat1': 3, 'bat2': 4, 'co2': 896, 'humi': 81, 'methane': 1478, 'temp': 21, 'unix': 1751736468}	-87		0.066816s
2025-07-05T17:28:30.036978289Z	eui-2cf7f12051004d45	8	24	{'bat1': 3, 'bat2': 4, 'co2': 1036, 'humi': 81, 'methane': 1802, 'temp': 20, 'unix': 1751743687}	-77		0.066816s
2025-07-05T17:37:13.182007856Z	eui-2cf7f12051004d45	8	25	{'bat1': 3, 'bat2': 4, 'co2': 522, 'humi': 80, 'methane': 339, 'temp': 19, 'unix': 1751744210}	-82		0.066816s
2025-07-05T19:27:31.204989645Z	eui-2cf7f12051004d45	8	26	{'bat1': 3, 'bat2': 4, 'co2': 843, 'humi': 81, 'methane': 1450, 'temp': 19, 'unix': 1751750828}	-81		0.066816s
2025-07-05T21:27:49.250913560Z	eui-2cf7f12051004d45	8	27	{'bat1': 3, 'bat2': 4, 'co2': 1055, 'humi': 81, 'methane': 1716, 'temp': 19, 'unix': 1751758046}	-83		0.066816s
2025-07-05T21:36:34.238531848Z	eui-2cf7f12051004d45	8	28	{'bat1': 3, 'bat2': 4, 'co2': 526, 'humi': 80, 'methane': 315, 'temp': 19, 'unix': 1751758571}	-84		0.066816s
2025-07-05T23:26:51.606308914Z	eui-2cf7f12051004d45	8	29	{'bat1': 3, 'bat2': 4, 'co2': 914, 'humi': 81, 'methane': 1048, 'temp': 19, 'unix': 1751765188}	-82		0.066816s
2025-07-06T01:27:10.806669035Z	eui-2cf7f12051004d45	8	30	{'bat1': 3, 'bat2': 4, 'co2': 1451, 'humi': 81, 'methane': 1642, 'temp': 19, 'unix': 1751772407}	-81		0.066816s
2025-07-06T01:35:55.661177842Z	eui-2cf7f12051004d45	8	31	{'bat1': 3, 'bat2': 4, 'co2': 550, 'humi': 81, 'methane': 459, 'temp': 19, 'unix': 1751772932}	-86		0.066816s
2025-07-06T03:26:13.625168096Z	eui-2cf7f12051004d45	8	32	{'bat1': 3, 'bat2': 4, 'co2': 1332, 'humi': 81, 'methane': 1490, 'temp': 19, 'unix': 1751779550}	-87		0.066816s
2025-07-06T05:26:32.943885948Z	eui-2cf7f12051004d45	8	33	{'bat1': 3, 'bat2': 4, 'co2': 1877, 'humi': 81, 'methane': 1696, 'temp': 19, 'unix': 1751786769}	-75		0.066816s
2025-07-06T05:35:17.680519532Z	eui-2cf7f12051004d45	8	34	{'bat1': 3, 'bat2': 4, 'co2': 535, 'humi': 81, 'methane': 376, 'temp': 19, 'unix': 1751787294}	-83		0.066816s
2025-07-06T07:25:36.413418329Z	eui-2cf7f12051004d45	8	35	{'bat1': 3, 'bat2': 4, 'co2': 1413, 'humi': 81, 'methane': 1239, 'temp': 20, 'unix': 1751793913}	-77		0.066816s
2025-07-06T09:25:56.279099623Z	eui-2cf7f12051004d45	8	36	{'bat1': 3, 'bat2': 4, 'co2': 1830, 'humi': 80, 'methane': 1642, 'temp': 22, 'unix': 1751801133}	-89		0.066816s
2025-07-06T09:34:39.585843347Z	eui-2cf7f12051004d45	8	37	{'bat1': 3, 'bat2': 4, 'co2': 514, 'humi': 81, 'methane': 347, 'temp': 22, 'unix': 1751801656}	-87		0.066816s
2025-07-06T11:25:06.212932523Z	eui-2cf7f12051004d45	8	38	{'bat1': 3, 'bat2': 4, 'co2': 1053, 'humi': 82, 'methane': 1472, 'temp': 23, 'unix': 1751808283}	-75		0.066816s
2025-07-06T13:25:25.589601804Z	eui-2cf7f12051004d45	8	39	{'bat1': 4, 'bat2': 4, 'co2': 1011, 'humi': 81, 'methane': 1704, 'temp': 25, 'unix': 1751815502}	-83		0.066816s
2025-07-06T13:34:25.334761790Z	eui-2cf7f12051004d45	8	40	{'bat1': 4, 'bat2': 4, 'co2': 493, 'humi': 80, 'methane': 293, 'temp': 25, 'unix': 1751816042}	-85		0.071936s
2025-07-06T15:24:43.940229791Z	eui-2cf7f12051004d45	8	41	{'bat1': 4, 'bat2': 4, 'co2': 695, 'humi': 82, 'methane': 1442, 'temp': 25, 'unix': 1751822660}	-85		0.071936s
2025-07-06T17:25:03.672894488Z	eui-2cf7f12051004d45	8	42	{'bat1': 4, 'bat2': 4, 'co2': 655, 'humi': 80, 'methane': 1611, 'temp': 25, 'unix': 1751829880}	-87		0.066816s
2025-07-06T17:33:47.135656947Z	eui-2cf7f12051004d45	8	43	{'bat1': 4, 'bat2': 4, 'co2': 496, 'humi': 80, 'methane': 364, 'temp': 25, 'unix': 1751830403}	-90		0.066816s
2025-07-06T19:24:05.754747382Z	eui-2cf7f12051004d45	8	44	{'bat1': 4, 'bat2': 4, 'co2': 574, 'humi': 82, 'methane': 1193, 'temp': 23, 'unix': 1751837022}	-77		0.066816s
2025-07-06T21:24:24.587803691Z	eui-2cf7f12051004d45	8	45	{'bat1': 4, 'bat2': 4, 'co2': 665, 'humi': 82, 'methane': 1496, 'temp': 21, 'unix': 1751844241}	-81		0.066816s
2025-07-06T21:33:07.840873036Z	eui-2cf7f12051004d45	8	46	{'bat1': 4, 'bat2': 4, 'co2': 501, 'humi': 82, 'methane': 283, 'temp': 21, 'unix': 1751844764}	-81		0.066816s
2025-07-06T23:23:26.896964181Z	eui-2cf7f12051004d45	8	47	{'bat1': 3, 'bat2': 4, 'co2': 709, 'humi': 81, 'methane': 1115, 'temp': 21, 'unix': 1751851383}	-85		0.066816s
2025-07-05T01:31:10.528562609Z	eui-2cf7f12051004d45	8	12	{'bat1': 3, 'bat2': 4, 'co2': 1322, 'humi': 81, 'methane': 1289, 'temp': 19, 'unix': 1751686247}	-85		0.066816s
2025-07-05T01:39:54.333872282Z	eui-2cf7f12051004d45	8	13	{'bat1': 3, 'bat2': 4, 'co2': 541, 'humi': 80, 'methane': 262, 'temp': 19, 'unix': 1751686771}	-87		0.066816s
2025-07-05T03:30:12.370913115Z	eui-2cf7f12051004d45	8	14	{'bat1': 3, 'bat2': 4, 'co2': 1348, 'humi': 81, 'methane': 1255, 'temp': 18, 'unix': 1751693389}	-82		0.066816s
2025-07-05T05:30:30.085144285Z	eui-2cf7f12051004d45	8	15	{'bat1': 3, 'bat2': 4, 'co2': 1968, 'humi': 81, 'methane': 1732, 'temp': 18, 'unix': 1751700607}	-91		0.066816s
2025-07-05T05:39:12.433638910Z	eui-2cf7f12051004d45	8	16	{'bat1': 3, 'bat2': 4, 'co2': 543, 'humi': 81, 'methane': 317, 'temp': 18, 'unix': 1751701129}	-79		0.066816s
2025-07-05T07:29:31.446651644Z	eui-2cf7f12051004d45	8	17	{'bat1': 3, 'bat2': 4, 'co2': 1459, 'humi': 81, 'methane': 1423, 'temp': 19, 'unix': 1751707748}	-88		0.066816s
2025-07-05T09:29:50.261018951Z	eui-2cf7f12051004d45	8	18	{'bat1': 3, 'bat2': 4, 'co2': 1921, 'humi': 81, 'methane': 1871, 'temp': 20, 'unix': 1751714967}	-87		0.066816s
2025-07-05T09:38:32.143568172Z	eui-2cf7f12051004d45	8	19	{'bat1': 3, 'bat2': 4, 'co2': 544, 'humi': 81, 'methane': 565, 'temp': 20, 'unix': 1751715489}	-83		0.066816s
2025-07-05T11:28:50.023898773Z	eui-2cf7f12051004d45	8	20	{'bat1': 3, 'bat2': 4, 'co2': 1189, 'humi': 81, 'methane': 1534, 'temp': 20, 'unix': 1751722107}	-87		0.066816s
2025-07-05T13:29:08.882939559Z	eui-2cf7f12051004d45	8	21	{'bat1': 3, 'bat2': 4, 'co2': 1355, 'humi': 81, 'methane': 1832, 'temp': 20, 'unix': 1751729326}	-83		0.071936s
2025-07-05T13:37:52.957871987Z	eui-2cf7f12051004d45	8	22	{'bat1': 3, 'bat2': 4, 'co2': 524, 'humi': 81, 'methane': 351, 'temp': 20, 'unix': 1751729850}	-87		0.071936s
2025-07-05T15:28:11.205621123Z	eui-2cf7f12051004d45	8	23	{'bat1': 3, 'bat2': 4, 'co2': 896, 'humi': 81, 'methane': 1478, 'temp': 21, 'unix': 1751736468}	-87		0.066816s
2025-07-05T17:28:30.036978289Z	eui-2cf7f12051004d45	8	24	{'bat1': 3, 'bat2': 4, 'co2': 1036, 'humi': 81, 'methane': 1802, 'temp': 20, 'unix': 1751743687}	-77		0.066816s
2025-07-05T17:37:13.182007856Z	eui-2cf7f12051004d45	8	25	{'bat1': 3, 'bat2': 4, 'co2': 522, 'humi': 80, 'methane': 339, 'temp': 19, 'unix': 1751744210}	-82		0.066816s
2025-07-05T19:27:31.204989645Z	eui-2cf7f12051004d45	8	26	{'bat1': 3, 'bat2': 4, 'co2': 843, 'humi': 81, 'methane': 1450, 'temp': 19, 'unix': 1751750828}	-81		0.066816s
2025-07-05T21:27:49.250913560Z	eui-2cf7f12051004d45	8	27	{'bat1': 3, 'bat2': 4, 'co2': 1055, 'humi': 81, 'methane': 1716, 'temp': 19, 'unix': 1751758046}	-83		0.066816s
2025-07-05T21:36:34.238531848Z	eui-2cf7f12051004d45	8	28	{'bat1': 3, 'bat2': 4, 'co2': 526, 'humi': 80, 'methane': 315, 'temp': 19, 'unix': 1751758571}	-84		0.066816s
2025-07-05T23:26:51.606308914Z	eui-2cf7f12051004d45	8	29	{'bat1': 3, 'bat2': 4, 'co2': 914, 'humi': 81, 'methane': 1048, 'temp': 19, 'unix': 1751765188}	-82		0.066816s
2025-07-06T01:27:10.806669035Z	eui-2cf7f12051004d45	8	30	{'bat1': 3, 'bat2': 4, 'co2': 1451, 'humi': 81, 'methane': 1642, 'temp': 19, 'unix': 1751772407}	-81		0.066816s
2025-07-06T01:35:55.661177842Z	eui-2cf7f12051004d45	8	31	{'bat1': 3, 'bat2': 4, 'co2': 550, 'humi': 81, 'methane': 459, 'temp': 19, 'unix': 1751772932}	-86		0.066816s
2025-07-06T03:26:13.625168096Z	eui-2cf7f12051004d45	8	32	{'bat1': 3, 'bat2': 4, 'co2': 1332, 'humi': 81, 'methane': 1490, 'temp': 19, 'unix': 1751779550}	-87		0.066816s
2025-07-06T05:26:32.943885948Z	eui-2cf7f12051004d45	8	33	{'bat1': 3, 'bat2': 4, 'co2': 1877, 'humi': 81, 'methane': 1696, 'temp': 19, 'unix': 1751786769}	-75		0.066816s
2025-07-06T05:35:17.680519532Z	eui-2cf7f12051004d45	8	34	{'bat1': 3, 'bat2': 4, 'co2': 535, 'humi': 81, 'methane': 376, 'temp': 19, 'unix': 1751787294}	-83		0.066816s
2025-07-06T07:25:36.413418329Z	eui-2cf7f12051004d45	8	35	{'bat1': 3, 'bat2': 4, 'co2': 1413, 'humi': 81, 'methane': 1239, 'temp': 20, 'unix': 1751793913}	-77		0.066816s
2025-07-06T09:25:56.279099623Z	eui-2cf7f12051004d45	8	36	{'bat1': 3, 'bat2': 4, 'co2': 1830, 'humi': 80, 'methane': 1642, 'temp': 22, 'unix': 1751801133}	-89		0.066816s
2025-07-06T09:34:39.585843347Z	eui-2cf7f12051004d45	8	37	{'bat1': 3, 'bat2': 4, 'co2': 514, 'humi': 81, 'methane': 347, 'temp': 22, 'unix': 1751801656}	-87		0.066816s
2025-07-06T11:25:06.212932523Z	eui-2cf7f12051004d45	8	38	{'bat1': 3, 'bat2': 4, 'co2': 1053, 'humi': 82, 'methane': 1472, 'temp': 23, 'unix': 1751808283}	-75		0.066816s
2025-07-06T13:25:25.589601804Z	eui-2cf7f12051004d45	8	39	{'bat1': 4, 'bat2': 4, 'co2': 1011, 'humi': 81, 'methane': 1704, 'temp': 25, 'unix': 1751815502}	-83		0.066816s
2025-07-06T13:34:25.334761790Z	eui-2cf7f12051004d45	8	40	{'bat1': 4, 'bat2': 4, 'co2': 493, 'humi': 80, 'methane': 293, 'temp': 25, 'unix': 1751816042}	-85		0.071936s
2025-07-06T15:24:43.940229791Z	eui-2cf7f12051004d45	8	41	{'bat1': 4, 'bat2': 4, 'co2': 695, 'humi': 82, 'methane': 1442, 'temp': 25, 'unix': 1751822660}	-85		0.071936s
2025-07-06T17:25:03.672894488Z	eui-2cf7f12051004d45	8	42	{'bat1': 4, 'bat2': 4, 'co2': 655, 'humi': 80, 'methane': 1611, 'temp': 25, 'unix': 1751829880}	-87		0.066816s
2025-07-06T17:33:47.135656947Z	eui-2cf7f12051004d45	8	43	{'bat1': 4, 'bat2': 4, 'co2': 496, 'humi': 80, 'methane': 364, 'temp': 25, 'unix': 1751830403}	-90		0.066816s
2025-07-06T19:24:05.754747382Z	eui-2cf7f12051004d45	8	44	{'bat1': 4, 'bat2': 4, 'co2': 574, 'humi': 82, 'methane': 1193, 'temp': 23, 'unix': 1751837022}	-77		0.066816s
2025-07-06T21:24:24.587803691Z	eui-2cf7f12051004d45	8	45	{'bat1': 4, 'bat2': 4, 'co2': 665, 'humi': 82, 'methane': 1496, 'temp': 21, 'unix': 1751844241}	-81		0.066816s
2025-07-06T21:33:07.840873036Z	eui-2cf7f12051004d45	8	46	{'bat1': 4, 'bat2': 4, 'co2': 501, 'humi': 82, 'methane': 283, 'temp': 21, 'unix': 1751844764}	-81		0.066816s
2025-07-06T23:23:26.896964181Z	eui-2cf7f12051004d45	8	47	{'bat1': 3, 'bat2': 4, 'co2': 709, 'humi': 81, 'methane': 1115, 'temp': 21, 'unix': 1751851383}	-85		0.066816s
2025-07-07T01:23:44.743183790Z	eui-2cf7f12051004d45	8	48	{'bat1': 3, 'bat2': 4, 'co2': 956, 'humi': 80, 'methane': 1456, 'temp': 20, 'unix': 1751858601}	-79		0.066816s
2025-07-07T01:32:28.701773619Z	eui-2cf7f12051004d45	8	49	{'bat1': 3, 'bat2': 4, 'co2': 522, 'humi': 80, 'methane': 287, 'temp': 19, 'unix': 1751859125}	-76		0.066816s
2025-07-05T01:31:10.528562609Z	eui-2cf7f12051004d45	8	12	{'bat1': 3, 'bat2': 4, 'co2': 1322, 'humi': 81, 'methane': 1289, 'temp': 19, 'unix': 1751686247}	-85		0.066816s
2025-07-05T01:39:54.333872282Z	eui-2cf7f12051004d45	8	13	{'bat1': 3, 'bat2': 4, 'co2': 541, 'humi': 80, 'methane': 262, 'temp': 19, 'unix': 1751686771}	-87		0.066816s
2025-07-05T03:30:12.370913115Z	eui-2cf7f12051004d45	8	14	{'bat1': 3, 'bat2': 4, 'co2': 1348, 'humi': 81, 'methane': 1255, 'temp': 18, 'unix': 1751693389}	-82		0.066816s
2025-07-05T05:30:30.085144285Z	eui-2cf7f12051004d45	8	15	{'bat1': 3, 'bat2': 4, 'co2': 1968, 'humi': 81, 'methane': 1732, 'temp': 18, 'unix': 1751700607}	-91		0.066816s
2025-07-05T05:39:12.433638910Z	eui-2cf7f12051004d45	8	16	{'bat1': 3, 'bat2': 4, 'co2': 543, 'humi': 81, 'methane': 317, 'temp': 18, 'unix': 1751701129}	-79		0.066816s
2025-07-05T07:29:31.446651644Z	eui-2cf7f12051004d45	8	17	{'bat1': 3, 'bat2': 4, 'co2': 1459, 'humi': 81, 'methane': 1423, 'temp': 19, 'unix': 1751707748}	-88		0.066816s
2025-07-05T09:29:50.261018951Z	eui-2cf7f12051004d45	8	18	{'bat1': 3, 'bat2': 4, 'co2': 1921, 'humi': 81, 'methane': 1871, 'temp': 20, 'unix': 1751714967}	-87		0.066816s
2025-07-05T09:38:32.143568172Z	eui-2cf7f12051004d45	8	19	{'bat1': 3, 'bat2': 4, 'co2': 544, 'humi': 81, 'methane': 565, 'temp': 20, 'unix': 1751715489}	-83		0.066816s
2025-07-05T11:28:50.023898773Z	eui-2cf7f12051004d45	8	20	{'bat1': 3, 'bat2': 4, 'co2': 1189, 'humi': 81, 'methane': 1534, 'temp': 20, 'unix': 1751722107}	-87		0.066816s
2025-07-05T13:29:08.882939559Z	eui-2cf7f12051004d45	8	21	{'bat1': 3, 'bat2': 4, 'co2': 1355, 'humi': 81, 'methane': 1832, 'temp': 20, 'unix': 1751729326}	-83		0.071936s
2025-07-05T13:37:52.957871987Z	eui-2cf7f12051004d45	8	22	{'bat1': 3, 'bat2': 4, 'co2': 524, 'humi': 81, 'methane': 351, 'temp': 20, 'unix': 1751729850}	-87		0.071936s
2025-07-05T15:28:11.205621123Z	eui-2cf7f12051004d45	8	23	{'bat1': 3, 'bat2': 4, 'co2': 896, 'humi': 81, 'methane': 1478, 'temp': 21, 'unix': 1751736468}	-87		0.066816s
2025-07-05T17:28:30.036978289Z	eui-2cf7f12051004d45	8	24	{'bat1': 3, 'bat2': 4, 'co2': 1036, 'humi': 81, 'methane': 1802, 'temp': 20, 'unix': 1751743687}	-77		0.066816s
2025-07-05T17:37:13.182007856Z	eui-2cf7f12051004d45	8	25	{'bat1': 3, 'bat2': 4, 'co2': 522, 'humi': 80, 'methane': 339, 'temp': 19, 'unix': 1751744210}	-82		0.066816s
2025-07-05T19:27:31.204989645Z	eui-2cf7f12051004d45	8	26	{'bat1': 3, 'bat2': 4, 'co2': 843, 'humi': 81, 'methane': 1450, 'temp': 19, 'unix': 1751750828}	-81		0.066816s
2025-07-05T21:27:49.250913560Z	eui-2cf7f12051004d45	8	27	{'bat1': 3, 'bat2': 4, 'co2': 1055, 'humi': 81, 'methane': 1716, 'temp': 19, 'unix': 1751758046}	-83		0.066816s
