received_at	device_id	f_port	f_cnt	decoded_payload	rssi	data_rate_index	consumed_airtime
2025-05-01T19:40:17.500480709Z	eui-2cf7f120420048ef	8	6	{'bat1': 433, 'bat2': 415, 'co2': 224, 'humi': 77, 'methane': 770, 'temp': 20, 'unix': 1746135595}	-118		0.226304s
2025-05-01T19:49:03.681361871Z	eui-2cf7f120420048ef	8	7	{'bat1': 428, 'bat2': 410, 'co2': 524, 'humi': 76, 'methane': 272, 'temp': 20, 'unix': 1746136121}	-113		0.226304s
2025-05-01T23:39:57.146647063Z	eui-2cf7f120420048ef	8	9	{'bat1': 432, 'bat2': 404, 'co2': 239, 'humi': 78, 'methane': 990, 'temp': 18, 'unix': 1746149975}	-118		0.411648s
2025-05-01T23:48:51.439246263Z	eui-2cf7f120420048ef	8	10	{'bat1': 434, 'bat2': 405, 'co2': 498, 'humi': 79, 'methane': 270, 'temp': 17, 'unix': 1746150509}	-117		0.411648s
2025-05-02T01:39:09.123227284Z	eui-2cf7f120420048ef	8	11	{'bat1': 425, 'bat2': 393, 'co2': 325, 'humi': 78, 'methane': 465, 'temp': 17, 'unix': 1746157127}	-116		0.411648s
2025-05-02T03:39:30.021954310Z	eui-2cf7f120420048ef	8	12	{'bat1': 425, 'bat2': 389, 'co2': 278, 'humi': 80, 'methane': 888, 'temp': 17, 'unix': 1746164348}	-114		0.411648s
2025-05-02T03:48:16.045542269Z	eui-2cf7f120420048ef	8	13	{'bat1': 426, 'bat2': 390, 'co2': 495, 'humi': 79, 'methane': 261, 'temp': 17, 'unix': 1746164874}	-111		0.411648s
2025-05-02T05:38:34.189705720Z	eui-2cf7f120420048ef	8	14	{'bat1': 423, 'bat2': 383, 'co2': 343, 'humi': 79, 'methane': 954, 'temp': 18, 'unix': 1746171492}	-113		0.411648s
2025-05-02T07:38:53.269052085Z	eui-2cf7f120420048ef	8	15	{'bat1': 426, 'bat2': 389, 'co2': 259, 'humi': 79, 'methane': 947, 'temp': 18, 'unix': 1746178711}	-115		0.411648s
2025-05-02T07:47:41.069399196Z	eui-2cf7f120420048ef	8	16	{'bat1': 427, 'bat2': 390, 'co2': 461, 'humi': 79, 'methane': 274, 'temp': 18, 'unix': 1746179239}	-113		0.411648s
2025-05-02T09:38:15.346746125Z	eui-2cf7f120420048ef	8	17	{'bat1': 424, 'bat2': 408, 'co2': 297, 'humi': 75, 'methane': 676, 'temp': 22, 'unix': 1746185872}	-114		0.905216s
2025-05-02T11:38:43.312546945Z	eui-2cf7f120420048ef	8	18	{'bat1': 421, 'bat2': 413, 'co2': 261, 'humi': 67, 'methane': 705, 'temp': 24, 'unix': 1746193092}	-111		0.987136s
2025-05-02T11:47:55.745538663Z	eui-2cf7f120420048ef	8	19	{'bat1': 426, 'bat2': 416, 'co2': 483, 'humi': 65, 'methane': 261, 'temp': 23, 'unix': 1746193635}	-115		1.646592s
2025-05-02T13:38:15.600126193Z	eui-2cf7f120420048ef	8	20	{'bat1': 422, 'bat2': 414, 'co2': 288, 'humi': 65, 'methane': 671, 'temp': 25, 'unix': 1746200272}	-120		1.646592s
2025-05-02T15:38:47.304037524Z	eui-2cf7f120420048ef	8	21	{'bat1': 422, 'bat2': 414, 'co2': 305, 'humi': 71, 'methane': 939, 'temp': 22, 'unix': 1746207494}	-115		1.646592s
2025-05-02T15:47:34.688725387Z	eui-2cf7f120420048ef	8	22	{'bat1': 425, 'bat2': 417, 'co2': 495, 'humi': 66, 'methane': 260, 'temp': 21, 'unix': 1746208031}	-116		1.646592s
2025-05-02T17:38:05.052125074Z	eui-2cf7f120420048ef	8	23	{'bat1': 425, 'bat2': 413, 'co2': 299, 'humi': 78, 'methane': 913, 'temp': 18, 'unix': 1746214661}	-117		1.646592s
2025-05-02T19:38:25.668848151Z	eui-2cf7f120420048ef	8	24	{'bat1': 421, 'bat2': 405, 'co2': 282, 'humi': 81, 'methane': 773, 'temp': 17, 'unix': 1746221882}	-113		1.646592s
2025-05-02T19:47:14.181661861Z	eui-2cf7f120420048ef	8	25	{'bat1': 423, 'bat2': 407, 'co2': 473, 'humi': 78, 'methane': 247, 'temp': 16, 'unix': 1746222410}	-112		1.646592s
2025-05-02T21:37:34.043674854Z	eui-2cf7f120420048ef	8	26	{'bat1': 425, 'bat2': 402, 'co2': 326, 'humi': 81, 'methane': 499, 'temp': 16, 'unix': 1746229030}	-112		1.646592s
2025-05-02T23:37:55.090424831Z	eui-2cf7f120420048ef	8	27	{'bat1': 422, 'bat2': 395, 'co2': 289, 'humi': 80, 'methane': 866, 'temp': 15, 'unix': 1746236251}	-119		1.646592s
2025-05-02T23:46:41.664240478Z	eui-2cf7f120420048ef	8	28	{'bat1': 425, 'bat2': 397, 'co2': 483, 'humi': 79, 'methane': 241, 'temp': 15, 'unix': 1746236778}	-115		1.646592s
2025-05-03T01:37:01.706110196Z	eui-2cf7f120420048ef	8	29	{'bat1': 421, 'bat2': 391, 'co2': 338, 'humi': 80, 'methane': 591, 'temp': 16, 'unix': 1746243398}	-113		1.810432s
2025-05-01T07:56:41.233602306Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 400, 'co2': 257, 'humi': 48, 'methane': 1571, 'temp': 23, 'unix': 1746093377}	-105		1.646592s
2025-05-01T08:05:30.571249104Z	eui-2cf7f120420048ef	8	1	{'bat1': 437, 'bat2': 415, 'co2': 223, 'humi': 42, 'methane': 733, 'temp': 25, 'unix': 1746093906}	-111		1.810432s
2025-05-01T08:14:13.691126969Z	eui-2cf7f120420048ef	8		{'bat1': 396, 'bat2': 376, 'co2': 560, 'humi': 44, 'methane': 792, 'temp': 24, 'unix': 1746094421}	-113		1.646592s
2025-05-01T08:15:27.527577153Z	eui-2cf7f120420048ef	8		{'bat1': 423, 'bat2': 402, 'co2': 591, 'humi': 43, 'methane': 553, 'temp': 25, 'unix': 1746094486}	-105		1.646592s
2025-05-01T08:24:15.227987779Z	eui-2cf7f120420048ef	8	1	{'bat1': 430, 'bat2': 408, 'co2': 695, 'humi': 42, 'methane': 580, 'temp': 26, 'unix': 1746095031}	-109		1.646592s
2025-05-01T08:32:34.203142317Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 398, 'co2': 579, 'humi': 43, 'methane': 518, 'temp': 24, 'unix': 1746095530}	-106		1.646592s
2025-05-01T08:49:52.966719613Z	eui-2cf7f120420048ef	8		{'bat1': 420, 'bat2': 399, 'co2': 1017, 'humi': 49, 'methane': 1646, 'temp': 23, 'unix': 1746096569}	-108		1.646592s
2025-05-01T08:58:50.454126085Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 594, 'humi': 42, 'methane': 350, 'temp': 26, 'unix': 1746097107}	-110		1.646592s
2025-05-01T09:45:17.595296971Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 624, 'humi': 40, 'methane': 240, 'temp': 26, 'unix': 1746099894}	-110		1.646592s
2025-05-01T11:40:57.579928332Z	eui-2cf7f120420048ef	8		{'bat1': 418, 'bat2': 399, 'co2': 446, 'humi': 38, 'methane': 347, 'temp': 27, 'unix': 1746106834}	-82		1.646592s
2025-05-01T11:49:45.131234469Z	eui-2cf7f120420048ef	8	1	{'bat1': 422, 'bat2': 406, 'co2': 505, 'humi': 38, 'methane': 280, 'temp': 28, 'unix': 1746107363}	-86		0.071936s
2025-05-01T13:40:08.742596808Z	eui-2cf7f120420048ef	8	2	{'bat1': 420, 'bat2': 412, 'co2': 370, 'humi': 54, 'methane': 663, 'temp': 28, 'unix': 1746113980}	-111		0.066816s
2025-05-01T15:40:33.980781562Z	eui-2cf7f120420048ef	8	3	{'bat1': 420, 'bat2': 413, 'co2': 282, 'humi': 57, 'methane': 901, 'temp': 28, 'unix': 1746121212}	-116		0.123392s
2025-05-01T15:49:18.022827318Z	eui-2cf7f120420048ef	8	4	{'bat1': 423, 'bat2': 416, 'co2': 496, 'humi': 52, 'methane': 277, 'temp': 28, 'unix': 1746121736}	-117		0.123392s
2025-05-01T17:39:42.752239505Z	eui-2cf7f120420048ef	8	5	{'bat1': 425, 'bat2': 413, 'co2': 292, 'humi': 67, 'methane': 620, 'temp': 25, 'unix': 1746128360}	-120		0.123392s
2025-05-01T19:40:17.500480709Z	eui-2cf7f120420048ef	8	6	{'bat1': 433, 'bat2': 415, 'co2': 224, 'humi': 77, 'methane': 770, 'temp': 20, 'unix': 1746135595}	-118		0.226304s
2025-05-01T19:49:03.681361871Z	eui-2cf7f120420048ef	8	7	{'bat1': 428, 'bat2': 410, 'co2': 524, 'humi': 76, 'methane': 272, 'temp': 20, 'unix': 1746136121}	-113		0.226304s
2025-05-01T23:39:57.146647063Z	eui-2cf7f120420048ef	8	9	{'bat1': 432, 'bat2': 404, 'co2': 239, 'humi': 78, 'methane': 990, 'temp': 18, 'unix': 1746149975}	-118		0.411648s
2025-05-01T23:48:51.439246263Z	eui-2cf7f120420048ef	8	10	{'bat1': 434, 'bat2': 405, 'co2': 498, 'humi': 79, 'methane': 270, 'temp': 17, 'unix': 1746150509}	-117		0.411648s
2025-05-02T01:39:09.123227284Z	eui-2cf7f120420048ef	8	11	{'bat1': 425, 'bat2': 393, 'co2': 325, 'humi': 78, 'methane': 465, 'temp': 17, 'unix': 1746157127}	-116		0.411648s
2025-05-02T03:39:30.021954310Z	eui-2cf7f120420048ef	8	12	{'bat1': 425, 'bat2': 389, 'co2': 278, 'humi': 80, 'methane': 888, 'temp': 17, 'unix': 1746164348}	-114		0.411648s
2025-05-02T03:48:16.045542269Z	eui-2cf7f120420048ef	8	13	{'bat1': 426, 'bat2': 390, 'co2': 495, 'humi': 79, 'methane': 261, 'temp': 17, 'unix': 1746164874}	-111		0.411648s
2025-05-02T05:38:34.189705720Z	eui-2cf7f120420048ef	8	14	{'bat1': 423, 'bat2': 383, 'co2': 343, 'humi': 79, 'methane': 954, 'temp': 18, 'unix': 1746171492}	-113		0.411648s
2025-05-02T07:38:53.269052085Z	eui-2cf7f120420048ef	8	15	{'bat1': 426, 'bat2': 389, 'co2': 259, 'humi': 79, 'methane': 947, 'temp': 18, 'unix': 1746178711}	-115		0.411648s
2025-05-02T07:47:41.069399196Z	eui-2cf7f120420048ef	8	16	{'bat1': 427, 'bat2': 390, 'co2': 461, 'humi': 79, 'methane': 274, 'temp': 18, 'unix': 1746179239}	-113		0.411648s
2025-05-02T09:38:15.346746125Z	eui-2cf7f120420048ef	8	17	{'bat1': 424, 'bat2': 408, 'co2': 297, 'humi': 75, 'methane': 676, 'temp': 22, 'unix': 1746185872}	-114		0.905216s
2025-05-02T11:38:43.312546945Z	eui-2cf7f120420048ef	8	18	{'bat1': 421, 'bat2': 413, 'co2': 261, 'humi': 67, 'methane': 705, 'temp': 24, 'unix': 1746193092}	-111		0.987136s
2025-05-02T11:47:55.745538663Z	eui-2cf7f120420048ef	8	19	{'bat1': 426, 'bat2': 416, 'co2': 483, 'humi': 65, 'methane': 261, 'temp': 23, 'unix': 1746193635}	-115		1.646592s
2025-05-02T13:38:15.600126193Z	eui-2cf7f120420048ef	8	20	{'bat1': 422, 'bat2': 414, 'co2': 288, 'humi': 65, 'methane': 671, 'temp': 25, 'unix': 1746200272}	-120		1.646592s
2025-05-02T15:38:47.304037524Z	eui-2cf7f120420048ef	8	21	{'bat1': 422, 'bat2': 414, 'co2': 305, 'humi': 71, 'methane': 939, 'temp': 22, 'unix': 1746207494}	-115		1.646592s
2025-05-02T15:47:34.688725387Z	eui-2cf7f120420048ef	8	22	{'bat1': 425, 'bat2': 417, 'co2': 495, 'humi': 66, 'methane': 260, 'temp': 21, 'unix': 1746208031}	-116		1.646592s
2025-05-02T17:38:05.052125074Z	eui-2cf7f120420048ef	8	23	{'bat1': 425, 'bat2': 413, 'co2': 299, 'humi': 78, 'methane': 913, 'temp': 18, 'unix': 1746214661}	-117		1.646592s
2025-05-02T19:38:25.668848151Z	eui-2cf7f120420048ef	8	24	{'bat1': 421, 'bat2': 405, 'co2': 282, 'humi': 81, 'methane': 773, 'temp': 17, 'unix': 1746221882}	-113		1.646592s
2025-05-02T19:47:14.181661861Z	eui-2cf7f120420048ef	8	25	{'bat1': 423, 'bat2': 407, 'co2': 473, 'humi': 78, 'methane': 247, 'temp': 16, 'unix': 1746222410}	-112		1.646592s
2025-05-02T21:37:34.043674854Z	eui-2cf7f120420048ef	8	26	{'bat1': 425, 'bat2': 402, 'co2': 326, 'humi': 81, 'methane': 499, 'temp': 16, 'unix': 1746229030}	-112		1.646592s
2025-05-02T23:37:55.090424831Z	eui-2cf7f120420048ef	8	27	{'bat1': 422, 'bat2': 395, 'co2': 289, 'humi': 80, 'methane': 866, 'temp': 15, 'unix': 1746236251}	-119		1.646592s
2025-05-02T23:46:41.664240478Z	eui-2cf7f120420048ef	8	28	{'bat1': 425, 'bat2': 397, 'co2': 483, 'humi': 79, 'methane': 241, 'temp': 15, 'unix': 1746236778}	-115		1.646592s
2025-05-03T01:37:01.706110196Z	eui-2cf7f120420048ef	8	29	{'bat1': 421, 'bat2': 391, 'co2': 338, 'humi': 80, 'methane': 591, 'temp': 16, 'unix': 1746243398}	-113		1.810432s
2025-05-01T07:56:41.233602306Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 400, 'co2': 257, 'humi': 48, 'methane': 1571, 'temp': 23, 'unix': 1746093377}	-105		1.646592s
2025-05-01T08:05:30.571249104Z	eui-2cf7f120420048ef	8	1	{'bat1': 437, 'bat2': 415, 'co2': 223, 'humi': 42, 'methane': 733, 'temp': 25, 'unix': 1746093906}	-111		1.810432s
2025-05-01T08:14:13.691126969Z	eui-2cf7f120420048ef	8		{'bat1': 396, 'bat2': 376, 'co2': 560, 'humi': 44, 'methane': 792, 'temp': 24, 'unix': 1746094421}	-113		1.646592s
2025-05-01T08:15:27.527577153Z	eui-2cf7f120420048ef	8		{'bat1': 423, 'bat2': 402, 'co2': 591, 'humi': 43, 'methane': 553, 'temp': 25, 'unix': 1746094486}	-105		1.646592s
2025-05-01T08:24:15.227987779Z	eui-2cf7f120420048ef	8	1	{'bat1': 430, 'bat2': 408, 'co2': 695, 'humi': 42, 'methane': 580, 'temp': 26, 'unix': 1746095031}	-109		1.646592s
2025-05-01T08:32:34.203142317Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 398, 'co2': 579, 'humi': 43, 'methane': 518, 'temp': 24, 'unix': 1746095530}	-106		1.646592s
2025-05-01T08:49:52.966719613Z	eui-2cf7f120420048ef	8		{'bat1': 420, 'bat2': 399, 'co2': 1017, 'humi': 49, 'methane': 1646, 'temp': 23, 'unix': 1746096569}	-108		1.646592s
2025-05-01T08:58:50.454126085Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 594, 'humi': 42, 'methane': 350, 'temp': 26, 'unix': 1746097107}	-110		1.646592s
2025-05-01T09:45:17.595296971Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 624, 'humi': 40, 'methane': 240, 'temp': 26, 'unix': 1746099894}	-110		1.646592s
2025-05-01T11:40:57.579928332Z	eui-2cf7f120420048ef	8		{'bat1': 418, 'bat2': 399, 'co2': 446, 'humi': 38, 'methane': 347, 'temp': 27, 'unix': 1746106834}	-82		1.646592s
2025-05-01T11:49:45.131234469Z	eui-2cf7f120420048ef	8	1	{'bat1': 422, 'bat2': 406, 'co2': 505, 'humi': 38, 'methane': 280, 'temp': 28, 'unix': 1746107363}	-86		0.071936s
2025-05-01T13:40:08.742596808Z	eui-2cf7f120420048ef	8	2	{'bat1': 420, 'bat2': 412, 'co2': 370, 'humi': 54, 'methane': 663, 'temp': 28, 'unix': 1746113980}	-111		0.066816s
2025-05-01T15:40:33.980781562Z	eui-2cf7f120420048ef	8	3	{'bat1': 420, 'bat2': 413, 'co2': 282, 'humi': 57, 'methane': 901, 'temp': 28, 'unix': 1746121212}	-116		0.123392s
2025-05-01T15:49:18.022827318Z	eui-2cf7f120420048ef	8	4	{'bat1': 423, 'bat2': 416, 'co2': 496, 'humi': 52, 'methane': 277, 'temp': 28, 'unix': 1746121736}	-117		0.123392s
2025-05-01T17:39:42.752239505Z	eui-2cf7f120420048ef	8	5	{'bat1': 425, 'bat2': 413, 'co2': 292, 'humi': 67, 'methane': 620, 'temp': 25, 'unix': 1746128360}	-120		0.123392s
2025-05-01T19:40:17.500480709Z	eui-2cf7f120420048ef	8	6	{'bat1': 433, 'bat2': 415, 'co2': 224, 'humi': 77, 'methane': 770, 'temp': 20, 'unix': 1746135595}	-118		0.226304s
2025-05-01T19:49:03.681361871Z	eui-2cf7f120420048ef	8	7	{'bat1': 428, 'bat2': 410, 'co2': 524, 'humi': 76, 'methane': 272, 'temp': 20, 'unix': 1746136121}	-113		0.226304s
2025-05-01T23:39:57.146647063Z	eui-2cf7f120420048ef	8	9	{'bat1': 432, 'bat2': 404, 'co2': 239, 'humi': 78, 'methane': 990, 'temp': 18, 'unix': 1746149975}	-118		0.411648s
2025-05-01T23:48:51.439246263Z	eui-2cf7f120420048ef	8	10	{'bat1': 434, 'bat2': 405, 'co2': 498, 'humi': 79, 'methane': 270, 'temp': 17, 'unix': 1746150509}	-117		0.411648s
2025-05-02T01:39:09.123227284Z	eui-2cf7f120420048ef	8	11	{'bat1': 425, 'bat2': 393, 'co2': 325, 'humi': 78, 'methane': 465, 'temp': 17, 'unix': 1746157127}	-116		0.411648s
2025-05-02T03:39:30.021954310Z	eui-2cf7f120420048ef	8	12	{'bat1': 425, 'bat2': 389, 'co2': 278, 'humi': 80, 'methane': 888, 'temp': 17, 'unix': 1746164348}	-114		0.411648s
2025-05-02T03:48:16.045542269Z	eui-2cf7f120420048ef	8	13	{'bat1': 426, 'bat2': 390, 'co2': 495, 'humi': 79, 'methane': 261, 'temp': 17, 'unix': 1746164874}	-111		0.411648s
2025-05-02T05:38:34.189705720Z	eui-2cf7f120420048ef	8	14	{'bat1': 423, 'bat2': 383, 'co2': 343, 'humi': 79, 'methane': 954, 'temp': 18, 'unix': 1746171492}	-113		0.411648s
2025-05-02T07:38:53.269052085Z	eui-2cf7f120420048ef	8	15	{'bat1': 426, 'bat2': 389, 'co2': 259, 'humi': 79, 'methane': 947, 'temp': 18, 'unix': 1746178711}	-115		0.411648s
2025-05-02T07:47:41.069399196Z	eui-2cf7f120420048ef	8	16	{'bat1': 427, 'bat2': 390, 'co2': 461, 'humi': 79, 'methane': 274, 'temp': 18, 'unix': 1746179239}	-113		0.411648s
2025-05-02T09:38:15.346746125Z	eui-2cf7f120420048ef	8	17	{'bat1': 424, 'bat2': 408, 'co2': 297, 'humi': 75, 'methane': 676, 'temp': 22, 'unix': 1746185872}	-114		0.905216s
2025-05-02T11:38:43.312546945Z	eui-2cf7f120420048ef	8	18	{'bat1': 421, 'bat2': 413, 'co2': 261, 'humi': 67, 'methane': 705, 'temp': 24, 'unix': 1746193092}	-111		0.987136s
2025-05-02T11:47:55.745538663Z	eui-2cf7f120420048ef	8	19	{'bat1': 426, 'bat2': 416, 'co2': 483, 'humi': 65, 'methane': 261, 'temp': 23, 'unix': 1746193635}	-115		1.646592s
2025-05-02T13:38:15.600126193Z	eui-2cf7f120420048ef	8	20	{'bat1': 422, 'bat2': 414, 'co2': 288, 'humi': 65, 'methane': 671, 'temp': 25, 'unix': 1746200272}	-120		1.646592s
2025-05-02T15:38:47.304037524Z	eui-2cf7f120420048ef	8	21	{'bat1': 422, 'bat2': 414, 'co2': 305, 'humi': 71, 'methane': 939, 'temp': 22, 'unix': 1746207494}	-115		1.646592s
2025-05-02T15:47:34.688725387Z	eui-2cf7f120420048ef	8	22	{'bat1': 425, 'bat2': 417, 'co2': 495, 'humi': 66, 'methane': 260, 'temp': 21, 'unix': 1746208031}	-116		1.646592s
2025-05-02T17:38:05.052125074Z	eui-2cf7f120420048ef	8	23	{'bat1': 425, 'bat2': 413, 'co2': 299, 'humi': 78, 'methane': 913, 'temp': 18, 'unix': 1746214661}	-117		1.646592s
2025-05-02T19:38:25.668848151Z	eui-2cf7f120420048ef	8	24	{'bat1': 421, 'bat2': 405, 'co2': 282, 'humi': 81, 'methane': 773, 'temp': 17, 'unix': 1746221882}	-113		1.646592s
2025-05-02T19:47:14.181661861Z	eui-2cf7f120420048ef	8	25	{'bat1': 423, 'bat2': 407, 'co2': 473, 'humi': 78, 'methane': 247, 'temp': 16, 'unix': 1746222410}	-112		1.646592s
2025-05-02T21:37:34.043674854Z	eui-2cf7f120420048ef	8	26	{'bat1': 425, 'bat2': 402, 'co2': 326, 'humi': 81, 'methane': 499, 'temp': 16, 'unix': 1746229030}	-112		1.646592s
2025-05-02T23:37:55.090424831Z	eui-2cf7f120420048ef	8	27	{'bat1': 422, 'bat2': 395, 'co2': 289, 'humi': 80, 'methane': 866, 'temp': 15, 'unix': 1746236251}	-119		1.646592s
2025-05-02T23:46:41.664240478Z	eui-2cf7f120420048ef	8	28	{'bat1': 425, 'bat2': 397, 'co2': 483, 'humi': 79, 'methane': 241, 'temp': 15, 'unix': 1746236778}	-115		1.646592s
2025-05-03T01:37:01.706110196Z	eui-2cf7f120420048ef	8	29	{'bat1': 421, 'bat2': 391, 'co2': 338, 'humi': 80, 'methane': 591, 'temp': 16, 'unix': 1746243398}	-113		1.810432s
2025-05-03T03:37:23.268440840Z	eui-2cf7f120420048ef	8	30	{'bat1': 421, 'bat2': 386, 'co2': 290, 'humi': 79, 'methane': 893, 'temp': 16, 'unix': 1746250619}	-117		1.646592s
2025-05-03T03:46:10.581158764Z	eui-2cf7f120420048ef	8	31	{'bat1': 424, 'bat2': 388, 'co2': 484, 'humi': 79, 'methane': 245, 'temp': 15, 'unix': 1746251147}	-116		1.810432s
2025-05-01T07:56:41.233602306Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 400, 'co2': 257, 'humi': 48, 'methane': 1571, 'temp': 23, 'unix': 1746093377}	-105		1.646592s
2025-05-01T08:05:30.571249104Z	eui-2cf7f120420048ef	8	1	{'bat1': 437, 'bat2': 415, 'co2': 223, 'humi': 42, 'methane': 733, 'temp': 25, 'unix': 1746093906}	-111		1.810432s
2025-05-01T08:14:13.691126969Z	eui-2cf7f120420048ef	8		{'bat1': 396, 'bat2': 376, 'co2': 560, 'humi': 44, 'methane': 792, 'temp': 24, 'unix': 1746094421}	-113		1.646592s
2025-05-01T08:15:27.527577153Z	eui-2cf7f120420048ef	8		{'bat1': 423, 'bat2': 402, 'co2': 591, 'humi': 43, 'methane': 553, 'temp': 25, 'unix': 1746094486}	-105		1.646592s
2025-05-01T08:24:15.227987779Z	eui-2cf7f120420048ef	8	1	{'bat1': 430, 'bat2': 408, 'co2': 695, 'humi': 42, 'methane': 580, 'temp': 26, 'unix': 1746095031}	-109		1.646592s
2025-05-01T08:32:34.203142317Z	eui-2cf7f120420048ef	8		{'bat1': 419, 'bat2': 398, 'co2': 579, 'humi': 43, 'methane': 518, 'temp': 24, 'unix': 1746095530}	-106		1.646592s
2025-05-01T08:49:52.966719613Z	eui-2cf7f120420048ef	8		{'bat1': 420, 'bat2': 399, 'co2': 1017, 'humi': 49, 'methane': 1646, 'temp': 23, 'unix': 1746096569}	-108		1.646592s
2025-05-01T08:58:50.454126085Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 594, 'humi': 42, 'methane': 350, 'temp': 26, 'unix': 1746097107}	-110		1.646592s
2025-05-01T09:45:17.595296971Z	eui-2cf7f120420048ef	8	1	{'bat1': 420, 'bat2': 398, 'co2': 624, 'humi': 40, 'methane': 240, 'temp': 26, 'unix': 1746099894}	-110		1.646592s
2025-05-01T11:40:57.579928332Z	eui-2cf7f120420048ef	8		{'bat1': 418, 'bat2': 399, 'co2': 446, 'humi': 38, 'methane': 347, 'temp': 27, 'unix': 1746106834}	-82		1.646592s
2025-05-01T11:49:45.131234469Z	eui-2cf7f120420048ef	8	1	{'bat1': 422, 'bat2': 406, 'co2': 505, 'humi': 38, 'methane': 280, 'temp': 28, 'unix': 1746107363}	-86		0.071936s
2025-05-01T13:40:08.742596808Z	eui-2cf7f120420048ef	8	2	{'bat1': 420, 'bat2': 412, 'co2': 370, 'humi': 54, 'methane': 663, 'temp': 28, 'unix': 1746113980}	-111		0.066816s
2025-05-01T15:40:33.980781562Z	eui-2cf7f120420048ef	8	3	{'bat1': 420, 'bat2': 413, 'co2': 282, 'humi': 57, 'methane': 901, 'temp': 28, 'unix': 1746121212}	-116		0.123392s
2025-05-01T15:49:18.022827318Z	eui-2cf7f120420048ef	8	4	{'bat1': 423, 'bat2': 416, 'co2': 496, 'humi': 52, 'methane': 277, 'temp': 28, 'unix': 1746121736}	-117		0.123392s
2025-05-01T17:39:42.752239505Z	eui-2cf7f120420048ef	8	5	{'bat1': 425, 'bat2': 413, 'co2': 292, 'humi': 67, 'methane': 620, 'temp': 25, 'unix': 1746128360}	-120		0.123392s
2025-05-01T19:40:17.500480709Z	eui-2cf7f120420048ef	8	6	{'bat1': 433, 'bat2': 415, 'co2': 224, 'humi': 77, 'methane': 770, 'temp': 20, 'unix': 1746135595}	-118		0.226304s
2025-05-01T19:49:03.681361871Z	eui-2cf7f120420048ef	8	7	{'bat1': 428, 'bat2': 410, 'co2': 524, 'humi': 76, 'methane': 272, 'temp': 20, 'unix': 1746136121}	-113		0.226304s
2025-05-01T23:39:57.146647063Z	eui-2cf7f120420048ef	8	9	{'bat1': 432, 'bat2': 404, 'co2': 239, 'humi': 78, 'methane': 990, 'temp': 18, 'unix': 1746149975}	-118		0.411648s
2025-05-01T23:48:51.439246263Z	eui-2cf7f120420048ef	8	10	{'bat1': 434, 'bat2': 405, 'co2': 498, 'humi': 79, 'methane': 270, 'temp': 17, 'unix': 1746150509}	-117		0.411648s
2025-05-02T01:39:09.123227284Z	eui-2cf7f120420048ef	8	11	{'bat1': 425, 'bat2': 393, 'co2': 325, 'humi': 78, 'methane': 465, 'temp': 17, 'unix': 1746157127}	-116		0.411648s
2025-05-02T03:39:30.021954310Z	eui-2cf7f120420048ef	8	12	{'bat1': 425, 'bat2': 389, 'co2': 278, 'humi': 80, 'methane': 888, 'temp': 17, 'unix': 1746164348}	-114		0.411648s
2025-05-02T03:48:16.045542269Z	eui-2cf7f120420048ef	8	13	{'bat1': 426, 'bat2': 390, 'co2': 495, 'humi': 79, 'methane': 261, 'temp': 17, 'unix': 1746164874}	-111		0.411648s
2025-05-02T05:38:34.189705720Z	eui-2cf7f120420048ef	8	14	{'bat1': 423, 'bat2': 383, 'co2': 343, 'humi': 79, 'methane': 954, 'temp': 18, 'unix': 1746171492}	-113		0.411648s
2025-05-02T07:38:53.269052085Z	eui-2cf7f120420048ef	8	15	{'bat1': 426, 'bat2': 389, 'co2': 259, 'humi': 79, 'methane': 947, 'temp': 18, 'unix': 1746178711}	-115		0.411648s
2025-05-02T07:47:41.069399196Z	eui-2cf7f120420048ef	8	16	{'bat1': 427, 'bat2': 390, 'co2': 461, 'humi': 79, 'methane': 274, 'temp': 18, 'unix': 1746179239}	-113		0.411648s
2025-05-02T09:38:15.346746125Z	eui-2cf7f120420048ef	8	17	{'bat1': 424, 'bat2': 408, 'co2': 297, 'humi': 75, 'methane': 676, 'temp': 22, 'unix': 1746185872}	-114		0.905216s
2025-05-02T11:38:43.312546945Z	eui-2cf7f120420048ef	8	18	{'bat1': 421, 'bat2': 413, 'co2': 261, 'humi': 67, 'methane': 705, 'temp': 24, 'unix': 1746193092}	-111		0.987136s
2025-05-02T11:47:55.745538663Z	eui-2cf7f120420048ef	8	19	{'bat1': 426, 'bat2': 416, 'co2': 483, 'humi': 65, 'methane': 261, 'temp': 23, 'unix': 1746193635}	-115		1.646592s
